N, x, y 
75, -9.925000000000042, -14.094734104363821
76, -9.924000000000042, -14.065732442828214
77, -9.923000000000043, -14.036729368826686
78, -9.922000000000043, -14.00772491263051
79, -9.921000000000044, -13.978719104498072
80, -9.920000000000044, -13.949711974674818
81, -9.919000000000045, -13.920703553393205
82, -9.918000000000045, -13.891693870872757
83, -9.917000000000046, -13.862682957319967
84, -9.916000000000047, -13.833670842928269
85, -9.915000000000047, -13.804657557878114
86, -9.914000000000048, -13.775643132336796
87, -9.913000000000048, -13.746627596458572
88, -9.912000000000049, -13.71761098038454
89, -9.91100000000005, -13.688593314242677
90, -9.91000000000005, -13.659574628147753
91, -9.90900000000005, -13.630554952201363
92, -9.908000000000051, -13.601534316491906
93, -9.907000000000052, -13.572512751094498
94, -9.906000000000052, -13.543490286071027
95, -9.905000000000053, -13.514466951470059
96, -9.904000000000053, -13.485442777326883
97, -9.903000000000054, -13.456417793663428
98, -9.902000000000054, -13.42739203048828
99, -9.901000000000055, -13.398365517796636
100, -9.900000000000055, -13.36933828557031
101, -9.899000000000056, -13.340310363777649
102, -9.898000000000057, -13.311281782373575
103, -9.897000000000057, -13.282252571299539
104, -9.896000000000058, -13.253222760483498
105, -9.895000000000058, -13.224192379839854
106, -9.894000000000059, -13.195161459269523
107, -9.89300000000006, -13.16613002865981
108, -9.89200000000006, -13.137098117884447
109, -9.89100000000006, -13.108065756803553
110, -9.890000000000061, -13.07903297526362
111, -9.889000000000062, -13.04999980309747
112, -9.888000000000062, -13.020966270124257
113, -9.887000000000063, -12.991932406149411
114, -9.886000000000063, -12.962898240964652
115, -9.885000000000064, -12.93386380434795
116, -9.884000000000064, -12.904829126063504
117, -9.883000000000065, -12.875794235861703
118, -9.882000000000065, -12.846759163479154
119, -9.881000000000066, -12.817723938638586
120, -9.880000000000067, -12.788688591048873
121, -9.879000000000067, -12.759653150405024
122, -9.878000000000068, -12.730617646388108
123, -9.877000000000068, -12.701582108665296
124, -9.876000000000069, -12.672546566889773
125, -9.87500000000007, -12.643511050700784
126, -9.87400000000007, -12.614475589723556
127, -9.87300000000007, -12.58544021356928
128, -9.872000000000071, -12.556404951835129
129, -9.871000000000071, -12.527369834104187
130, -9.870000000000072, -12.498334889945474
131, -9.869000000000073, -12.46930014891389
132, -9.868000000000073, -12.44026564055017
133, -9.867000000000074, -12.411231394380962
134, -9.866000000000074, -12.382197439918665
135, -9.865000000000075, -12.353163806661515
136, -9.864000000000075, -12.32413052409352
137, -9.863000000000076, -12.295097621684441
138, -9.862000000000076, -12.266065128889771
139, -9.861000000000077, -12.237033075150718
140, -9.860000000000078, -12.208001489894146
141, -9.859000000000078, -12.178970402532642
142, -9.858000000000079, -12.149939842464407
143, -9.85700000000008, -12.120909839073246
144, -9.85600000000008, -12.091880421728593
145, -9.85500000000008, -12.062851619785445
146, -9.854000000000081, -12.03382346258435
147, -9.853000000000081, -12.004795979451417
148, -9.852000000000082, -11.975769199698224
149, -9.851000000000083, -11.946743152621886
150, -9.850000000000083, -11.917717867504939
151, -9.849000000000084, -11.888693373615398
152, -9.848000000000084, -11.859669700206668
153, -9.847000000000085, -11.830646876517601
154, -9.846000000000085, -11.801624931772386
155, -9.845000000000086, -11.772603895180612
156, -9.844000000000086, -11.743583795937168
157, -9.843000000000087, -11.71456466322227
158, -9.842000000000088, -11.685546526201433
159, -9.841000000000088, -11.656529414025425
160, -9.840000000000089, -11.627513355830295
161, -9.83900000000009, -11.598498380737286
162, -9.83800000000009, -11.569484517852866
163, -9.83700000000009, -11.540471796268681
164, -9.836000000000091, -11.511460245061551
165, -9.835000000000091, -11.482449893293408
166, -9.834000000000092, -11.453440770011348
167, -9.833000000000093, -11.42443290424753
168, -9.832000000000093, -11.395426325019196
169, -9.831000000000094, -11.366421061328658
170, -9.830000000000094, -11.337417142163234
171, -9.829000000000095, -11.308414596495286
172, -9.828000000000095, -11.279413453282139
173, -9.827000000000096, -11.250413741466126
174, -9.826000000000096, -11.221415489974474
175, -9.825000000000097, -11.19241872771938
176, -9.824000000000098, -11.16342348359792
177, -9.823000000000098, -11.134429786492088
178, -9.822000000000099, -11.105437665268703
179, -9.8210000000001, -11.076447148779442
180, -9.8200000000001, -11.047458265860806
181, -9.8190000000001, -11.018471045334092
182, -9.8180000000001, -10.989485516005383
183, -9.817000000000101, -10.960501706665498
184, -9.816000000000102, -10.931519646090011
185, -9.815000000000103, -10.90253936303922
186, -9.814000000000103, -10.873560886258065
187, -9.813000000000104, -10.84458424447624
188, -9.812000000000104, -10.815609466408018
189, -9.811000000000105, -10.786636580752342
190, -9.810000000000105, -10.757665616192757
191, -9.809000000000106, -10.728696601397385
192, -9.808000000000106, -10.699729565018949
193, -9.807000000000107, -10.670764535694666
194, -9.806000000000108, -10.64180154204633
195, -9.805000000000108, -10.612840612680223
196, -9.804000000000109, -10.58388177618711
197, -9.80300000000011, -10.554925061142209
198, -9.80200000000011, -10.525970496105193
199, -9.80100000000011, -10.497018109620173
200, -9.80000000000011, -10.468067930215623
201, -9.799000000000111, -10.439119986404444
202, -9.798000000000112, -10.41017430668386
203, -9.797000000000113, -10.381230919535465
204, -9.796000000000113, -10.352289853425141
205, -9.795000000000114, -10.323351136803094
206, -9.794000000000114, -10.294414798103803
207, -9.793000000000115, -10.265480865746007
208, -9.792000000000115, -10.236549368132664
209, -9.791000000000116, -10.207620333650967
210, -9.790000000000116, -10.178693790672302
211, -9.789000000000117, -10.149769767552232
212, -9.788000000000117, -10.120848292630479
213, -9.787000000000118, -10.091929394230885
214, -9.786000000000119, -10.063013100661438
215, -9.78500000000012, -10.03409944021417
216, -9.78400000000012, -10.005188441165235
217, -9.78300000000012, -9.976280131774828
218, -9.78200000000012, -9.947374540287175
219, -9.781000000000121, -9.918471694930494
220, -9.780000000000122, -9.889571623917044
221, -9.779000000000122, -9.860674355443022
222, -9.778000000000123, -9.83177991768859
223, -9.777000000000124, -9.802888338817837
224, -9.776000000000124, -9.77399964697877
225, -9.775000000000125, -9.745113870303292
226, -9.774000000000125, -9.716231036907164
227, -9.773000000000126, -9.687351174890031
228, -9.772000000000126, -9.658474312335342
229, -9.771000000000127, -9.629600477310364
230, -9.770000000000127, -9.600729697866171
231, -9.769000000000128, -9.571862002037605
232, -9.768000000000129, -9.542997417843251
233, -9.76700000000013, -9.514135973285425
234, -9.76600000000013, -9.485277696350202
235, -9.76500000000013, -9.456422615007288
236, -9.76400000000013, -9.427570757210093
237, -9.763000000000131, -9.398722150895695
238, -9.762000000000132, -9.369876823984795
239, -9.761000000000132, -9.341034804381692
240, -9.760000000000133, -9.312196119974304
241, -9.759000000000134, -9.283360798634117
242, -9.758000000000134, -9.254528868216163
243, -9.757000000000135, -9.22570035655904
244, -9.756000000000135, -9.196875291484828
245, -9.755000000000136, -9.168053700799128
246, -9.754000000000136, -9.139235612291008
247, -9.753000000000137, -9.110421053733004
248, -9.752000000000137, -9.08161005288108
249, -9.751000000000138, -9.052802637474645
250, -9.750000000000139, -9.023998835236462
251, -9.749000000000139, -8.995198673872714
252, -9.74800000000014, -8.966402181072947
253, -9.74700000000014, -8.937609384510019
254, -9.74600000000014, -8.908820311840142
255, -9.745000000000141, -8.880034990702802
256, -9.744000000000142, -8.851253448720817
257, -9.743000000000142, -8.822475713500198
258, -9.742000000000143, -8.793701812630282
259, -9.741000000000144, -8.764931773683577
260, -9.740000000000144, -8.73616562421582
261, -9.739000000000145, -8.707403391765942
262, -9.738000000000145, -8.678645103856013
263, -9.737000000000146, -8.6498907879913
